"old_code","new_code_0","new_code_1","date_change_1","change_type_1","new_code_2","date_change_2","change_type_2","new_code_3","date_change_3","change_type_3","final_code","experiences_split","direct_path_complicated","adjacent_to_complicated","part_of_complicated_path"
"5CV","5CV","5QQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QQ",0,"no",0,0
"5CW","5CW","TAL",2005-10-01,"name_change",NA,NA,NA,NA,NA,NA,"TAL",0,"no",0,0
"5CX","5CX","5NR",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NR",0,"no",0,0
"5CY","5CY","5PQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PQ",0,"no",0,0
"5D1","5D1","TAM",2006-10-01,"name_change","5QW",2011-04-15,"name_change",NA,NA,NA,"5QW",0,"no",0,0
"5D2","5D2","5N9",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N9",0,"no",0,0
"5D3","5D3","5N9",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N9",0,"no",0,0
"5D4","5D4","5NE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NE",0,"no",1,1
"5D5","5D5","5NE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NE",0,"no",1,1
"5D6","5D6","5NE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NE",0,"no",1,1
"5DA","5DA","5KL",2002-04-01,"name_change",NA,NA,NA,NA,NA,NA,"5KL",0,"no",0,0
"5DC","5DC","5PV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PV",0,"no",0,0
"5DD","5DD","5NF",2006-10-01,"split",NA,NA,NA,NA,NA,NA,"5NF",1,"no",0,1
"5DD","5DD","5NE",2006-10-01,"split",NA,NA,NA,NA,NA,NA,"5NE",1,"no",0,1
"5DF","5DF","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5DG","5DG","5QT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QT",0,"no",0,0
"5DH","5DH","5QK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QK",0,"no",0,0
"5DJ","5DJ","5QK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QK",0,"no",0,0
"5DK","5DK","5QF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QF",0,"no",0,0
"5DL","5DL","5QF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QF",0,"no",0,0
"5DM","5DM","5QG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QG",0,"no",0,0
"5DN","5DN","5QF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QF",0,"no",0,0
"5DP","5DP","5QD",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QD",0,"no",0,0
"5DQ","5DQ","5PK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PK",0,"no",0,0
"5DR","5DR","5PL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PL",0,"no",0,0
"5DT","5DT","5QE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QE",0,"no",1,1
"5DV","5DV","5QE",2006-10-01,"split",NA,NA,NA,NA,NA,NA,"5QE",1,"no",0,1
"5DV","5DV","5PD",2006-10-01,"split",NA,NA,NA,NA,NA,NA,"5PD",1,"no",0,1
"5DW","5DW","5QE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QE",0,"no",1,1
"5DX","5DX","5QE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QE",0,"no",1,1
"5DY","5DY","5QE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QE",0,"no",1,1
"5E2","5E2","5NV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NV",0,"no",0,0
"5E3","5E3","5NW",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NW",0,"no",0,0
"5E4","5E4","5NW",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NW",0,"no",0,0
"5E5","5E5","5NX",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NX",0,"no",0,0
"5E6","5E6","5NX",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NX",0,"no",0,0
"5E7","5E7","5N3",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N3",0,"no",0,0
"5E8","5E8","5N3",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N3",0,"no",0,0
"5E9","5E9","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5EA","5EA","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
