"old_code","final_code","experiences_split","problematic"
"RBB","RD1",0,0
"RBF","RTH",0,0
"RBG","RRE",0,0
"RBH","RRE",0,0
"RBP","RTV",NA,1
"RBU","R0A",0,0
"RBX","RX9",NA,1
"RC3","R1K",0,0
"RC4","RWH",0,0
"RC8","RWR",0,0
"RCA","RTR",0,0
"RCC","RCB",0,0
"RCE","TAD",0,0
"RCJ","RTR",0,0
"RCN","5JE",0,0
"RCP","RHA",NA,1
"RCP","5ET",NA,1
"RCP","RP5",NA,1
"RCS","RX1",0,0
"RCT","5EM",NA,1
"RCV","RHQ",0,0
"RCZ","RRP",NA,1
"RCZ","5A9",NA,1
"RD2","5FL",0,0
"RD6","RWX",0,0
"RD7","RDU",0,0
"RD9","5CQ",0,0
"5K5","RDA",1,0
"5LA","RDA",1,0
"5LC","RDA",1,0
"RDF","RAT",NA,1
"RDF","R1H",NA,1
"RDJ","R1L",0,0
"RDK","R1L",0,0
"RDL","RXC",NA,1
"RDM","RX2",NA,1
"RDM","RXC",NA,1
"RDQ","5A7",0,0
"RE6","RX7",0,0
"RE7","RNL",NA,1
"RE7","RNN",NA,1
"REA","RWV",0,0
"RED","5F1",0,0
"REH","5CN",0,0
"RER","5J4",NA,1
"RER","RTV",NA,1
"RES","RW4",NA,1
"REU","RXR",0,0
"REX","5J5",NA,1
"REX","RT2",NA,1
"REX","RW6",NA,1
"REY","RRF",0,0
"REZ","RT2",NA,1
"REZ","RW6",NA,1
"RF6","RJL",0,0
"RF7","RJL",0,0
"RFB","RWE",0,0
"RFD","RWE",0,0
"RFG","RHA",NA,1
"RFG","5H8",NA,1
"RFJ","RHA",NA,1
"RFJ","RK5",NA,1
"RFK","RX1",0,0
"RFL","RWE",0,0
"RFU","RYC",0,0
"RFW","RQM",0,0
"5HY","RFX",1,0
"5HX","RFX",1,0
"RG1","RWF",0,0
"RG2","RYQ",0,0
"RG3","RYQ",0,0
"RG4","RF4",NA,1
"RG4","RAT",NA,1
"RG6","5A4",NA,1
"RG6","RAT",NA,1
"RG6","5C2",NA,1
"RG7","RF4",NA,1
"RG8","R1L",0,0
"RGA","RWY",0,0
"RGB","RWY",0,0
"RGC","R1H",NA,1
"RGF","RXG",NA,1
"RGH","RX8",NA,1
"RGK","RT1",0,0
"RGQ","RDE",0,0
"RGS","RT1",0,0
"RGU","RXH",NA,1
"RGX","RX2",NA,1
"RGZ","RYQ",0,0
"RH1","RYE",NA,1
"RH2","RXQ",0,0
"RH4","RWX",0,0
"RH6","RTE",NA,1
"RH7","RTQ",NA,1
"5K7","RHB",1,0
"5K8","RHB",1,0
"RHC","5C1",NA,1
"RHC","RRP",NA,1
"RHJ","RX2",NA,1
"RHN","RN5",0,0
"RHP","RYF",0,0
"RHS","RW1",NA,1
"RHS","5L1",NA,1
"RHX","RW1",NA,1
"RHY","RX9",NA,1
"RHY","RYE",NA,1
"RJ5","RYJ",0,0
"RJ9","RYF",0,0
"RJB","R1A",NA,1
"RJB","RWP",NA,1
"RJF","RTG",0,0
"RJH","RRK",0,0
"RJM","5M3",0,0
"RJQ","5J2",NA,1
"RJQ","RTV",NA,1
"RJS","RWW",0,0
"RJT","RXA",0,0
"RJU","RXN",NA,1
"RJU","RW5",NA,1
"RJX","RW4",NA,1
"RJY","RRF",0,0
"RK1","RWD",0,0
"RK4","RP7",0,0
"RK6","5EM",NA,1
"RK6","RHA",NA,1
"RK7","TAH",0,0
"RKA","RYA",0,0
"RKC","RWW",0,0
"RKD","RYE",NA,1
"RKF","RXW",0,0
"RKX","RXM",0,0
"RL5","RYA",0,0
"RL6","RYA",0,0
"RLF","RNN",NA,1
"RLG","RNL",NA,1
"RLH","RX4",0,0
"RLR","RWP",NA,1
"RLU","RQ3",0,0
"RLW","RXK",0,0
"RLZ","RXW",0,0
"RM2","R0A",0,0
"RM4","R0A",0,0
"RM6","RX4",0,0
"RM9","RWP",NA,1
"RMA","RX7",0,0
"RMB","RXR",0,0
"RMD","RX7",0,0
"RME","TAP",NA,1
"RME","RW5",NA,1
"RMF","RXN",NA,1
"RMG","RW5",NA,1
"RMH","RXV",0,0
"RMJ","5F5",0,0
"RMK","RW6",NA,1
"RML","RXL",NA,1
"RML","5HP",NA,1
"RML","RW5",NA,1
"RMM","5HQ",NA,1
"RMM","RTV",NA,1
"RMN","RT2",NA,1
"RMN","5JX",NA,1
"RMN","RW6",NA,1
"RMQ","RT2",NA,1
"RMR","RXL",NA,1
"RMS","RWJ",0,0
"RMT","RWJ",0,0
"RMW","RXF",NA,1
"RMW","RXG",NA,1
"RMZ","RYC",0,0
"RN1","RN5",0,0
"RN4","RW1",NA,1
"RN4","5FE",NA,1
"RNB","5MD",0,0
"RND","RXT",0,0
"RNE","RXK",0,0
"RNF","RXT",0,0
"RNG","RRE",0,0
"RNH","R1H",NA,1
"RNJ","R1H",NA,1
"5D8","RNM",1,0
"5D7","RNM",1,0
"RNP","RX4",0,0
"RNR","RP1",0,0
"RNT","RXQ",0,0
"RNW","RP1",0,0
"RNY","RYE",NA,1
"RP2","5C9",NA,1
"RP2","RRP",NA,1
"RP3","R1L",0,0
"RPD","RWF",0,0
"RPH","RYD",0,0
"RPK","RX2",NA,1
"RPL","RYR",0,0
"RPN","5A5",0,0
"RPQ","RYD",0,0
"RPR","RYR",0,0
"RPS","RXH",NA,1
"RPS","RX2",NA,1
"RPV","5H1",0,0
"RPW","RWG",0,0
"RQ2","RYD",0,0
"RQ4","TAJ",0,0
"RQ5","5MV",0,0
"RQ7","R0A",0,0
"RQJ","RWR",0,0
"5AT","RQK",1,0
"RV3","RQK",1,0
"5K6","RQK",1,0
"RQL","RWG",0,0
"RQN","RYJ",0,0
"RQQ","RGN",0,0
"RQU","RWD",0,0
"RQV","R1L",0,0
"RR1","RRK",0,0
"RR2","5QT",0,0
"RR4","RXF",NA,1
"RR5","RXA",0,0
"RR9","RXP",0,0
"RRD","R1L",0,0
"RRG","RWK",NA,1
"RRG","5C4",NA,1
"RRH","5C5",NA,1
"RRH","RWK",NA,1
"RRL","RWK",NA,1
"RRL","5C3",NA,1
"RRQ","TAF",0,0
"RRX","RWD",0,0
"RRZ","R1A",NA,1
"RT6","RMY",0,0
"RT7","7A1",0,0
"RTA","RXP",0,0
"RTC","RX3",0,0
"RTJ","RXX",0,0
"RTM","RXY",0,0
"RTN","RXX",0,0
"5M2","RTW",1,0
"5MK","RTW",1,0
"RV1","RX6",NA,1
"RV1","RX8",NA,1
"RV2","RKL",0,0
"5LF","RV4",1,0
"5LE","RV4",1,0
"5LD","RV4",1,0
"RV6","RX9",NA,1
"RV7","R1L",0,0
